Türkçe,Osmanlıca
a,ه
a,ه
â,آ
â,آ
ab,اب
âb,آب
âb,آب
aba,ابا
abâ,عبا
abâ,عبا
âbâ',آباء
âbâ',آباء
ab'âb,عبعاب
ab'âb,عبعاب
abad,اباد
âbâd,آباد
âbâd,آباد
âbâd,آباد
âbâd,آباد
abadan,ابادان
âbâdân,آبادان
âbâdân,آبادان
âbâdânî,آبادانی
âbâdânî,آبادانی
âbâdânlık,آبادانلق
âbâdî,آبادی
âbâdî,آبادی
abaka,آباقه
âbâl,آبال
âbâl,آبال
abamak,آبامق
âbân,آبان
âbân,آبان
abandırmak,آبانديرمق
âbânî,آبانى
abanlamak,آبانلامق
abanmak,ابانمق
abanmak,آبانمق
abanoz,آبانوز
abanoz,ابنوس
abâpûş,عباپوش
abâpûş,عباپوش
âbâr,آبار
âbâr,آبار
âbcâme,آبجامه
âbcâme,آبجامه
âbçîn,آبچين
âbçîn,آبچين
abd,عبد
abd,عبد
abdal,آبدال
abdallık,آبداللق
abdalsı,آبدالسى
âbdân,آبدان
âbdân,آبدان
abdar,ابدار
âbdâr,آبدار
âbdâr,آبدار
âbdârlık,آبدارلق
âbdendân,آبدندان
âbdendân,آبدندان
abdest,آبدست
abdest,آبدست
abdest,ابدست
âbdestân,آبدستان
abdesthâne,آبدستخانه
abdesthâne,آبدستخانه
âbdestlik,آبدستلك
âbdestsiz,آبدستسز
abe,آبه‌
âbek,آبک
âbek,آبک
abes,عبث
abes,عبث
âbgîne,آبگينه
âbgîne,آبگينه
âbgîr,آبگير
âbgîr,آبگير
âbgôn,آبكون
âbgûn,آبگون
âbgûn,آبگون
abher,عبهر
abher,عبهر
âbhîz,آبخيز
âbhîz,آبخيز
âbhord,آبخورد
âbhord,آبخورد
âbî,آبی
âbî,آبی
âbid,عابد
âbid,عابد
abîd,عبيد
abîd,عبيد
âbide,آبده
âbide,آبده
âbidevî,آبدوی
âbidevî,آبدوی
âbıhayat,آب حيات
âbıhayat,آب حيات
abile,ابله
âbile,آبله
âbile,آبله
âbir,عابر
âbir,عابر
âbırû,آبرو
âbırû,آبرو
âbişhor,آبشخور
âbişhor,آبشخور
âbisten,آبستن
âbisten,آبستن
âbistengâh,آبستنگاه
âbistengâh,آبستنگاه
âbkâr,آبکار
âbkâr,آبکار
âbkeş,آبکش
âbkeş,آبکش
abla,آبلا
abla,ابلا
abla,ابله
ablak,آبلاق
ablak,ابلق
abli,آبلى
abloka,آبلوقه
âbnôs,آبنوس
âbnûs,آبنوس
âbnûs,آبنوس
âbnûsiyye,آبنوسيه
abone,آبونه
