sabahlat,zbu1exlebo2
sabahla,zbu1exle
sabırsızlan,zbu1rsro1lebo1
sabunlat,zebu1wbo1lebo2
sabunla,zebu1wbo1le
saçıl,zexu3yl
saçışdır,zexu3yso3dyr
saçmala,zexu3mh||le
sağdır,zeao1dyr
sağıl,zeao1yl
sağlamlan,zeao1lemlebo1
sağlamlaşdır,zeao1lemleso3dyr
sağlamlaş,zeao1lemleso3
sağlamla,zeao1lemle
sağla,zeao1le
sakallan,zefo2ellebo1
sakatlan,sfo2tlebo1
sakatla,sfo2tle
saklanıl,zefo2lebo1yl
saklan,zefo2lebo1
saklat,zefo2lebo2
sakla,zefo2le
salbet,zlbu1 eybo2
saldır,zeldyr
salın,zelybo1
salıver,zelywyr
sallandır,zellebo1dyr
sallan,zellebo1
salla,zelle
sancılan,zebo1xu1ylebo1
sapdır,zebu3dyr
sapıt,zebu3ybo2
saplan,zebu3lebo1
saplat,zebu3lebo2
sapla,zebu3le
sarar,serer
sarart,sererbo2
sarıl,zeryl
sarın,zerybo1
sarkıl,zerfo2yl
sarkıt,zerfo2ybo2
sark,zerfo2
sarplaş,zerbu3leso3
sarsıl,zerzyl
sars,zerz
sar,zer
sataş,zebo2eso3
satdır,zebo2dyr
satıl,zebo2yl
satınal,zebo2wbo1 eo6l
sat,zebo2
savrul,zewrwl
savsakla,zewsefo2le
savuşdur,zewwso3dyr
savuş,zewwso3
sa’yet,say eybo2
sayıkla,zeyyfo2le
sayıl,zeyyl
say,zey
sebket,sbu1fo2 eybo2
seçdir,sxu3dyr
seçil,sxu3l
seç,sxu3
seğir,sko7r
seğirt,sko7rbo2
sekdir,skdyr
sek,sk
selamla,slemle
selamlaş,slemleso3
semir,smyr
semirt,smyrbo2
sendele,sbo1dh||l
senetleş,sbo1dlso3
serdet,srd eybo2
serdir,srdyr
seril,sryl
serinlen,srybo1lbo1
serinle,srybo1l
serinleş,srybo1lso3
serinlet,srybo1lbo2
serpdir,srbu3dyr
serpil,srbu3yl
serpişdir,srbu3so3dyr
serp,srbu3
sersemle,srsmlh||
sertlendir,srbo2lbo1dyr
sertlen,srbo2llbo1
sertleşdir,srbo2lso3dyr
sertleş,srbo2lso3
sesle,sslh||
setret,sbo2reybo2
sevdir,swdyr
sevil,swyl
sevindir,swybo1dyr
sevin,swybo1
seviş,swyso3
sevket,swfo2 eybo2
sev,sw
seyrekleş,sko7rklso3
seyrekleştir,sko7rklso3dyr
seyret,syreybo2
sezdir,sro1dyrd
sezil,sro1yl
sez,sro1
sıçrat,zyxu3rebo2
sıçra,zyxu3re
siftahla,sfo1bo2exle
siftin,syfo1bo2ybo1
sığa,zyao1e
sığdır,zyao1dyr
sığın,zyao1ybo1
sığışdır,zyao1yso3dyr
sığış,zyao1yso3
sihirle,sxrl
sıkıl,zyfo2yl
sıkışdır,zyfo2yso3dyr
sıkış,zyfo2yso3
sıklaşdır,zyfo2leso3dyr
sıklaş,zyfo2leso3
silahlandır,slexlebo1dyr
sildir,syldyr
silin,sylbo1
silk,sylk
sınan,zybo1ebo1
sına,zybo1e
sindir,sybo1dyr
sindir,sylo5o3dyr
sinirlen,sybo1yrlbo1
sin,syk
sıralan,zyrh||lebo1
sırala,zyrh||le
sırıt,zyrybo2
sirkin,syrkybo1
sırtar,zyrbo2er
sırtla,zyrbo2le
sislen,syslh||bo1k
sıvala,zywele
sıvan,zyao1ebo1
sıvan,zywebo1
sıvazla,zywero1le
siviş,sywyso3
sivrileş,sywrylso3
sivril,sywryl
sivrilt,sywrylbo2
siyahlan,syehlebo1
siyahlat,syehlebo2
sıyır,zyyr
sıyrıl,zyyryl
sızdır,zyyrdyr
sızır,zyro1yr
sızlan,zyro1lebo1
sızlat,zyro1lebo2
sız,zyro1
söğdür,swko7dr
soğukla,zwao1wfo2le
soğutul,zwao1wbo2yl
soğut,zwao1wbo2
soğu,zwao1w
sokdur,zwfo2dyr
sök,swk
sökül,swkwl
sokul,zwfo2wl
sokuşdur,zwfo2wso3dyr
sok,zwfo2
soldur,zwldyr
solut,zwlwbo2
solu,zwlw
sömür,swmwr
somurt,zwmwrbo2
söndür,swbo1dwr
söndür,swko7wbo1dyr
sön,swbo1
sön,swko7wbo1
sordur,zwrdwr
sorul,zwrl
soruşdur,zwrwso3dyr
sor,zwr
söylenil,swylh||bo1yl
söyleş,swylh||so3
söyle,swylh||
söylet,swylh||bo2
soyun,zwywbo1
sözleş,zwro1lso3
sulandır,zwlebo1dyr
sulan,zwlebo1
sulat,zwlebo2
sula,zwle
sulhet,zlx eybo2
sümkür,swmkwr
sundur,zwbo1dr
sun,zwbo1
süpür,swbu3wr
süpürt,swbu3wrbo2
süpürtül,swbu3wrl
sürdür,swrdyr
sürgüle,swrko7wl
sür,swr
sürt,swrbo2
sürtül,swrbo2l
sürtün,swrbo2bo1
sürüklen,swrwklbo2
sürükle,swrwkl
sürükle,swrwklbo1
süründür,swrwbo1dyr
sürün,swrwbo1
sürüt,swrwbo2
susat,zwsebo2
susa,zwze
susdur,zwzdyr
süslen,swslbo1
süzdür,swro1dyr
süz,swro1
süzül,swro1wl
