a,آ
âb,آب
aba,عبا
âbâ,آباء
âbâd,آباد
âbâdân,آبادان
abajur,آباژور
abamak,آبامق
abandırmak,آباندیرمق
abâni,آبانی
abanlamak,آبانلامق
abanmak,آبانمق
abanoz,آبانوز
abbasi,عباسى
âbdâr,آبدار
abdesâne,آبدستخانه
abdeslik,آبدستلك
abdessiz,آبدستسز
abdest,آبدست
abes,عبت
abıhayat,آب حيات
âbid,عابد
abid,عبد
âbide,آبده
abla,آبلا
ablak,آبلاق
abluka,آبلوقه
abone,آبونه
abuksabuk,آبوق صابوق
aburcubur,آبور جوبور
abûs,عبوس
acabâ,عجبا
acar,آجار
acâyib,عجائب
aceb,عجب
acele,عجله
aceleci,عجله‌جى
Acem,عجم
acemi,عجمى
acemilik,عجميلك
Acemistân,عجمستان
acenta,آجنته
acı,آجى
acıklanmak,آجيقلانمق
acıklı,آجيقلى
acıkmak,آجيقمق
acıktırmak,آجيقديرمق
acılık,آجيلق
acımak,آجيمق
acımtrak,آجيمتراق
acınacak,آجينه‌جق
acındırmak,آجينديرمق
acınmak,آجينمق
acıtmak,آجيتمق
acîb,عجيب
acîbe,عجيبه
âcil,عاجل
âcilen,عاجلاً
âciz,عاجز
aciz,عجز
âcizâne,عاجزانه
acûl,عجول
acûze,عجوزه
aç,آج
açar,آچار
açgözlü,آج كوزلو
açıcı,آچجى
açık,آچيق
açıkağız,آچيق آغيز
açıkgöz,آچيق گوز
açıklamak,آجيقلامق
açıklık,آجيقلق
açılmak,آچلمق
açlık,آچلق
açma,آچمه
açmak,آچمق
açmaz,آچماز
açmazlık,آچمازلق
açtırmak,آچديرمق
ad,آد
ada,آطه
ada,آدا
â'da,اعدا
âdâb,آداب
â'dâd,اعداد
adak,آداق
adale,عضله
adâlet,عدالت
adâletsiz,عدالتسز
adâletsizlik,عدالتسزلك
adalı,آطه‌لى
adalî,عضلى
adam,آدام
adamak,آدامق
adamakıllı,آدام عقللى
adamcağız,آدامجغز
adamcasına,آدمجه‌سنه
adamcık,آدامجق
adamcıl,آدامجيل
adamsı,آطه‌مسى
adamsız,آدامسز
Adana,آطنه
Adapazarı,آطه‌پازارى
adaptasyon,آدابتاسيون
adaş,آداش
adatmak,آداتمق
adâvet,عداوت
addetmek,عدايتمك
aded,عدد
adem,عدم
âdem,آدم
âdemî,آدمى
âdemiyet,آدميت
adenit,آده‌نيت
adese,عدسه
âdet,عادت
âdetâ,عادتا
adımlamak,آديملامق
adım,آديم
Adıyaman,آدى‌يامان
âdî,عادى
âdil,عادل
adil,عدل
âdilâne,عادلانه
âdîlik,عاديلك
adlî,عدلى
adliye,عدليه
adlamak,آدلامق
adlanmak,آدلانمق
adres,آدرس
adsız,آدسز
adû,عدو
af,عفو
afacan,آفاجان
âfâk,آفاق
âfâkî,آفاقى
afallamak,آفاللامق
afallaşmak,آفاللشمق
afallatmak,آفاللاتمق
âfât,آفات
âferîde,آفريده
âferin,آفرين
âfet,آفت
âfetzede,آفت‌زده
afgan,آفغان
afif,عفف
afiş,آفيش
âfitâb,آفتاب
âfiyet,عافيت
aforoz,آففوروز
aforozlamak,آفوروزلامق
afyon,آفيون
Afyon Karahisar,آفيون قره‌حصار
âgâh,آگاه
agrandisman,آغراندیسمان
ağ,آغ
ağa,آغا
ağaç,آغاچ
ağaç,آغاج
ağaççileği,آغاج جيلكي
ağaçkakan,آغاج قاقان
ağaçkavunu,آغاج قاوونى
ağaçkurdu,آغاج قوردى
ağaçlâlesi,آغاج لا‌له‌سى
ağalanmak,آغالانمق
ağaçlık,آغاجلق
ağarma,آغارمه
ağarmak,آغارمق
ağartma,آغارتمه
ağartmak,آغارتمق
ağda,آغدا
ağdacı,آغداجى
ağdalanmak,آغدالانمق
ağdalaşmak,آغدالاشمق
ağdırmak,آغديرمق
ağı,آغى
ağıl,آغيل
ağıllanmak,آغيللانمق
ağılmak,آغيلمق
ağır,آغر
ağırbaşlı,آغر باشلى
ağırlamak,آغرلامق
ağırlanmak,آغرلانمق
ağırlaşmak,آغرلاشمق
ağırlaştırmak,آغرلاشديرمق
ağırlatmak,آغرلاتمق
ağırlık,آغرلق
ağırşak,آغرشاق
ağırşaklanmak,آغرشاقلانمق
ağız,آغز
ağız,آغیز
ağızdolusu,آغز طولوسى
ağızlık,آغزلق
ağızotu,آغز اوتى
ağlama,آغلامه
ağlamak,آغلامق
ağlamış,آغلامش
ağlaşmak,آغلاشمق
ağlatmak,آغلاتمق
ağlayış,آغلايش
ağma,آغمه
ağmak,آغمق
ağnam,اغنام
ağniyâ,اغنيا
ağraz,اغراض
ağrı,آغرى
ağrılı,آغريلى
ağrıma,آغريمه
ağrımak,آغريمق
ağrıtmak,آغريتمق
Ağustos,آغستوس
ağustosböceği,آغستوس بوجكى
âğûş,آغوش
ağyâr,اغبار
ağzıkara,آغزى‌قارا
ah,آه
âhâd,آحاد
ahâli,أهالى
âhar,آخر
ahçı,آخجى
ahçılık,آخجيلق
ahdetmek,عهداتمك
ahdî,عهدى
âhen,آهن
âheste,آهسته
ahır,آخور
ahırlamak,آخورلامق
ahid,عهد
ahidleşmek,عهدلشمك
ahidnâme,عهدنامه
âhir,آخر
ahîren,اخبراً
âhiret,آخرت
âhize,آخذه
ahlâf,احلاف
ahlâk,اخلاق
ahlâkî,اخلاقى
ahlâkıyât,اخلاقيات
ahlâkıyûn,اخلاقيون
ahlâksız,اخلاقسز
ahlat,آخلاط
Ahlat,آخلاط
ahmak,احمق
ahmer,احمر
ahretlik,آخرتلك
ahşab,اخشاب
ahtapot,آختاپود
ahter,اختر
âhû,آهو
âhubaba,آخو‌بابا
âhududu,آهو‌طودى
ahvâl,احوال
âid,عائد
âidât,عائدات
âile,عائله
