â,آ
âb,آب
âb,آب
abâ,عبا
âbâ',آباء
ab'âb,عبعاب
âbâd,آباد
âbâd,آباد
âbâdân,آبادان
âbâdânî,آبادانى
âbâdî,آبادی
âbâl,آبال
âbân,آبان
abâpûş,عباپوش
âbâr,آبار
âbcâme,آبجامه
âbçîn,آبچين
abd,عبد
âbdân,آبدان
âbdâr,آبدار
âbdendân,آبدندان
abdest,آبدست
abdesthâne,آبدستخانه
âbek,آبك
abes,عبث
âbgîne,آبگينه
âbgîr,آبگير
âbgûn,آبگون
abher,عبهر
âbhîz,آبخيز
âbhord,آبخورد
âb-ı âbistenî,آب آبستنى
âb-ı adâlet,آب عدالت
âb-ı ahmer,آب احمر
âb-ı âteşîn,آب آتشين
âb-ı bâdereng,آب باده رنگ
âb-ı engûr,آب انگور
âb-ı harâbât,آب خرابات
âb-ı kevser,آب كوثر
âbırû,آبرو
âbî,آبى
abîd,عبيد
âbid,عابد
âbidât,آبدات
âbide,آبده
âbidevî,آبدوی
âbile,آبله
âbir,عابر
âbisten,آبستن
âbistengâh,آبستنگاه
âbişhor,آبشخور
âbkâr,آبكار
âbkeş,آبكش
âbnûs,آبنوس
âbrâh,آبراه
abraş,ابرش
âbrîz,آبریز
âbşâr,آبشار
abûs,عبوس
âbühava,آب و هوا
âbzih,آبزه
âc,عاج
âc,آج
acâib,عجائب
acâleten,عجالة
aceb,عجب
acebâ,عجبا
acele,عجله
aceleten,عجلة
acem,عجم
acemaşîran,عجم عشيران
acemî,عجمى
acemistan,عجمستان
acemiyân,عجميان
aceze,عجزه
acîb,عجيب
acîbe,عجيبه
âcil,عاجل
âcilen,عاجلا
acîn,عجين
âciz,عاجز
âcizâne,عاجزانه
âcizî,عاجزی
âciziyyet,عاجزیت
acûl,عجول
acûlâne,عجولانه
acûz,عجوز
acûze,عجوزه
âcür,آجر
acz,عجز
a'dâ,اعدا
âdâb,آداب
a'dâd,اعداد
adalât,عضلات
adale,عضله
adâlet,عدالت
adaletkâr,عدالتكار
âdât,عادات
adâvet,عداوت
add,عد
aded,عدد
adeden,عددا
adedî,عددی
adem,عدم
âdem,آدم
ademâbâd,عدم آباد
âdemhâr,آدم خوار
âdemî,آدمى
adem-i muvaffakiyet,عدم موفقيت
adem-i muvazenet,عدم موازنت
adem-i riâyet,عدم رعایت
adem-i te'lîfiyet,عدم تأليفيت
adem-i teveccüh,عدم توجه
âdemiyân,آدميان
âdemiyyet,آدميت
ades,عدس
adese,عدسه
âdet,عادت
âdeta,عادتا
âdeten,عدتا
adhâ,اضحى
âdi,عادی
adîd,عدید
adîde,عدیده
adîl,عدیل
âdil,عادل
âdilâne,عدلانه
adîm,عدیم
adîmülimkân,عدیم الامكان
âdiye,عادیه
adl,عدل
adlâ',اضلاع
adlî,عدلى
adliyye,عدليه
adn,عدن
adû,عدو
âfâk,آفاق
âfâkî,آفاقى
âfât,آفات
âferîde,آفریده
âferîdgâr,آفریدگار
âferîn,آفرین
âferîn,آفرین
âferînende,آفریننده
âferîniş,آفرینش
âfet,آفت
âfetengîz,آفت انگيز
âfet-i cân,آفت جان
âfet-i devrân,آفت دوران
âfetresân,آفت رسان
âfetzede,آفت زده
afîf,عفيف
âfil,آفل
âfitâb,آفتاب
âfitâbcemâl,آفتاب  جمال
âfiyet,عافيت
afiyetbahş,آفيت بخش
afrika,افریقا
afsun,افسون
âftâb,آفتاب
âftâbe,آفتابه
âftâbgîr,آفتابگير
âftâbî,آفتابى
âftâbrû,آفتاب رو
afv,عفو
âgâh,آگاه
âgâhî,آگاهى
âgeh,آگه
âgehî,آگهى
âgîn,آگين
âgûş,آغوش
âğâliş,آغالش
ağayân,آغایان
âğâz,آغاز
ağbiyâ,اغبيا
âğişte,آغشته
ağlâl,اغلال
ağlât,اغلاط
ağleb,اغلب
ağleb-i ihtimâl,اغلب احتمال
ağnâ,اغنى
ağnâm,اغنام
ağniyâ,اغنيا
ağniye,اغنيه
ağrâs,اغراس
ağrâz,اغراض
ağsân,اغصان
ağşiye,اغشيه
ağyâr,اغيار
ah,اخ
âh,آه
âh ü zâr,آه و زار
ahad,احد
âhâd,آحاد
ahali,اهالى
ahavât,اخوات
ahbâb,احباب
ahbap,احباب
ahbâr,اخبار
ahcâr,احجار
ahd,عهد
ahdar,احضر
ahdâs,احداث
ahdeb,احدب
ahd-i atîk,عهد عتيق
ahd-i cedîd,عهد جدید
ahdnâme,عهدنامه
ahdüpeymân,عهد و پيمان
âhek,آهك
âhen,آهن
âhendil,آهن دل
âheng,آهنگ
âhengdâr,آهنگدار
âhenger,آهنگر
âhenggüzâr,آهنگ گذار
âheng-i esvât,آهنگ اصوات
âhenîn,آهنين
âhenîndil,آهنين دل
âhenk,آهنگ
âhenkdâr,آهنگ دار
âhenkeş,آهنكش
âhenrüba,آهن ربا
âhensâ(y),آهن سای
âher,آخر
âheste,آهسته
âhestegî,آهستگى
ahfâ,اخفا
ahfâd,احفاد
ahger,اخگر
ahibbâ,احبا
ahid,عهد
ahidşiken,عهدشكن
âhîhte,آهيخته
ahîr,آخر
âhirbîn,آخربين
âhire,آخره
ahîren,اخيرا
âhiret,آخرت
âhir-i kâr,آخر كار
âhirin,آخرین
âhirkâr,آخركار
âhirülemr,آخرالامر
âhiz,آخذ
ahize,آخذه
ahkâm,احكام
ahlâf,اخلاف
ahlâk,اخلاق
ahlâken,اخلاقا
ahlâk-ı amelî,اخلاق عملى
ahlâk-ı hasene,اخلاق حسنه
ahlâk-ı nazarî,اخلاق نظری
ahlâk-ı zemîme,اخلاق ذميمه
ahlâkiyat,اخلاقيات
ahlâkiyûn,اخلاقيون
ahlâm,احلام
ahlât,اخلاط
ahlât-ı erba'a,اخلاط اربعه
ahmak,احمق
ahmakâne,احمقانه
ahmakî,احمقى
ahmer,احمر
ahrâm,احرام
ahrâr,احرار
ahrârâne,احرارانه
ahrâs,احراس
ahret,آخرت
ahsâs,احساس
ahsen,احسن
ahşâ',احشاء
ahşâb,اخشاب
ahşâm,احشام
ahtâb,احطاب
ahtâr,اخطار
âhte,آخته
ahter,اختر
ahterbîn,اختربين
ahter-i dünbâledâr,اختر دنباله دار
ahterşinâs,اخترشناس
ahterşümâr,اخترشمار
ahu,اخو
âhû,آهو
âhûbere,آهوبره
âhûdil,آهودل
âhund,آخوند
âhûnigah,آهونگاه
âhur,آخر
âhuvân,آهوان
âhûvâne,آهوانه
âhüvâh,آه و واه
âhüvâveylâ,آه و واویلا
âhüzâr,آه و زار
ahvâl,احوال
ahvâl-i âdiye,احوال عادیه
ahvâl-i sıhhiye,احوال صحيه
ahvef,اخوف
ahvel,احول
ahyâ,احيا
ahyâl,اخيال
ahyânen,احيانا
ahyâr,اخيار
ahyât,اخياط
ahz,اخذ
ahzâb,احزاب
ahzân,احزان
ahzar,اخضر
ahzen,احزن
ahzetmek,اخذ
