'add etmek,ade
'ahd,ahd
'aksi,aksy
'alev,alw
'alevlenmek,alwlbo1mk
'amûd,amwd
'ayb,abu2bu1
(okka) endâze ile olan,fo2bu2h ebo1dero1h ebu2lh ewlebo1
(okka) endâze ile satmak,fo2bu2h ebo1dero1h ebu2lh zebo2mfo2
(okka) endâze ile satış,fo2bu2h ebo1dero1h ebu2lh zebo2so3
--lik etmek,lk e
-a dak,bo5h
-a dak,bo5h dfo2
-a doğru,bo5h twao1ry
-a kadar,bo5h fo2dr
-a karşı,bo5h fo2erso3w
-a karşı,bo5h fo2erso3y
-a,bo5h
-an,abo1
-da,dh
-dan dolayı,dbo1 twlebu2y
-dan hâric,dbo1 xo1erxu1
-dan olmak,dbo1 ew
-dan yana olmak,dbo1 bu2ebo1h ew
-dan ötürü,dbo1 ewbo2wry
-dan,dbo1
-de,dh
-den aşağı,dbo1 eso3eao1y
-den başka,dbo1 bu1so3fo2h
-den eksik,dbo1 eksk
-den fazla,dbo1 fo1zo1lh
-den hâriç,dbo1 xo1erxu1
-den mâadâ,dbo1 meade
-den yukarı,dbo1 bu2wfo2ery
-den ziyâde yukârıya çıkmak,dbo1 ro1bu2edh bu2wfo2ery xu3bu2fo2mfo2
-den ziyâde,dbo1 ro1bu2edh
-den öteye,dbo1 ewbo2h bu2h
-diği gibi,dbu2ao1y kbu1y
-e dek,bo5h dfo2
-e dek,bo5h dk
-e değin,bo5h dkbu2bo1
-e göre,bo5h kwrh
-e kadar,bo5h fo2dr
-e,bo5h
-ez,ero1
-im,m
-in,k
-ları,lry
-li,lw
-lü,lw
-min,mbo1
-nın,bo1k
-nız,kro1
-ya,bu2h
-ım,m
,teso3efo2lrbu2bo1y ksmk
Allah,ellh
Allaha ısmarladık,ellhh ezmerldfo2
Allahtan korkmaz,ellhdbo1 fo2wrfo2mro1
Allahı severseniz!,ellhy swrsh kro1
Allâha ısmarladık,ellhh ezmerldfo2
Gird,
Muhammedî,mxmdy
Nuh gemisi,bo1wx kmbu2sy
Osmanlı memleketi,abo3mebo1lw mmlkbo2y
Osmanlı vilâyeti,abo3mebo1lwwlebu2bo2y
Osmanlı,abo3mebo1lw
Osmanlı,abo3mebo1lw tbu3reao1y
Osmanlıca,abo3mebo1lwxu1h
Rahmân,rxmbo1
Rahîm,rxbu2m
Türk uşağı,bo2rk ewso3eao1y
Türk,bo2rk
Türkçe,bo2rkxu1h
a'lâ,eale
a'lâlık,ealelfo2
a'ma,eamy
a'yân,eabu2ebo1
a'zam,eato1m
a'zâ,eazo1e
a'zâsı endâmından hâriç olan,eazo1esy ebo1dembo1dbo1 xu1erxu1 ewlebo1
a'zâsını tefrîk etmek,eazo1esbo1y bo2fo1rbu2fo2 e
a'şârî,easo3ery
a,bo5h
abanmak,ebu1ebo1mfo2
abbreviate,
abd,abu1d
abdest almak,ebu1dsbo2 elmfo2
abdest,ebu1dsbo2
abdesthâne,ebu1dsbo2xo1ebo1h
abdâr,ebu1der
abede-i esnâm,abu1dh ezbo1em
abede-i evsân,abu1dh ewbo3ebo1
abede,abu1dh
abes,abu1bo3
abhor,
abla,ebu1lh
abluka,ebu1lwfo2h
abolish,
abâdân etmek,ebu1edebo1 e
abâdân,ebu1edebo1
acayib,axu1bu2bu1
acayip tabiatlı,axu1bu2bu1 tbu1bu2abo2lw
acaîb şey,axu1bu2bu1 so3y
acaîb,axu1bu2bu1
acele etmek,axu1lh e
acele ettirmek,axu1lh ebu2bo2drmk
acele ile,axu1lh ebu2lh
acele,axu1lh
acemî,axu1my
acz,axu1ro1
acâib,axu1ebo5bu1
acîb (acaib),axu1bu2bu1
acîb (acayib),axu1bu2bu1
acîb,axu1bu2bu1
acîbe,axu1bu2bu1h
acûz,axu1wro1
acı su,exu1y zw
acı,exu1y
acıkmak,exu1fo2mfo2
acımak,exu1bu2mfo2
acınacak,exu1bo1h xu1fo2
acır,exu1r
acısını çıkarmak,exu1bu2sbo1y xu3bu2fo2ermfo2
acıtmak,exu1bo2mfo2
acıyor,exu1bu2wr
ad koymak,edfo2wmfo2
ad takmak,edtefo2mfo2
ad vermek,edwbu2rmfo2
ad vermek,edwbu2rmk
ad,ed
ada tavşanı,eth twso3ebo1y
ada,eth
adabalığı,eth bu1elao1y
adak,edefo2
adam boğulur,edm bu1wao1lwr
adam ile donatmak,edm ebu2lh dwbo1ebo2mfo2
adam koymak,edm fo2wmfo2
adam yerine koymamak,edm bu2rbu2bo1h fo2wmemfo2
adam,edm
adamlarına izin vermek,edmlrbu2bo1h edo1bo1 wbu2rmk
adamlık,edmlfo2
adamı aldatır,edmy eldedr
adamın bedine gitmek,edmk bu1dbu2bo1h kbo2mk
adamın canını sıkar,edmk xu1ebo1bo1y zbu2fo2er
adamın gücüne gider,edmk kwxu1bo1h kbu2dr
adamın gücüne gitmek,edmk kwxu1bo1h kbo2mk
adamın yüreği dayanmaz,edmk bu2wrky tbu2ebo1mro1
adamın yüreğini kanatmak,edmk bu2wrkbo1y fo2ebo1ebo2mfo2
adaçayı,eth xu3ebu2y
add etmek,ade
addâş,eddeso3
aded hesâbı,add xsebu1y
aded-i sahîh,add zxbu2x
aded,add
adedi ziyâde olmak,addy ro1bu2edh ew
adem (adam),edm
adem-i ehliyyet,adm ehlbu2bo2
adem-i emniyyet,adm embo1bu2bo2
adem-i hürmet,adm xrmbo2
adem-i i'tikâd,adm eabo2fo2ed
adem-i iffet,adm afo1bo2
adem-i ihtirâm,adm exbo2rem
adem-i iktidâr,adm efo2bo2der
adem-i incâz,adm ebo1xu1ero1
adem-i ismet,adm azmbo2
adem-i itâat,adm eteabo2
adem-i metânet,adm mbo2ebo1bo2
adem-i mufâvakat,adm mwefo1fo2bo2
adem-i rağbet,adm rao1bu1bo2
adem-i riâyet,adm raebu2bo2
adem-i rızâ,adm rzo1e
adem-i sadâkat,adm zdefo2bo2
adem-i salâhiyyet,ado1m zlexbu2bo2
adem-i takayyüd,adm bo2fo2bu2d
adem-i temeyyül,adm bo2mbu2l
adem-i tenâsüb,adm bo2bo1esbu1
adem-i vefâ,adm wfo1e
adem-i îmân,adm ebu2mebo1
adem,adm
adres,edrs
adâlet,adelbo2
adâvet etmek,adewbo2 e
adâvet,adewbo2
adîm-ül-imkân,adbu2m elemkebo1
adû,adw
adüvv,adw
adım,edbu2m
aferin,efo1rbu2bo1
aforoz,efo1rwro1
aforoz,efo1wrwro1
afv etmek,afo1w e
afv etmek,afo1we
afv olunmaz,afo1wewlmro1
afv,afo1w
afvetmez,afo1webu2bo2mro1
afvi âmm,afo1waem
